name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,Diana,SECOND WARD,42.64506,-73.75727,Entire home/apt,100,1,254,03/12/2023,4.63,19,78,60
Rental unit in Albany · ★4.80 · 2 bedrooms · 2 beds · 1 bath,Elizabeth,THIRTEENTH WARD,42.66619,-73.79031,Entire home/apt,110,2,50,15/09/2023,0.92,8,365,3
Home in Albany · ★4.98 · 1 bedroom · 1 bed · 1.5 shared baths,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,55,1,281,04/01/2024,5.34,2,143,97
Rental unit in Albany · ★4.81 · 2 bedrooms · 1 bed · 1 bath,Dominick,SIXTH WARD,42.65507,-73.76138,Entire home/apt,151,4,36,25/08/2023,0.72,3,356,2
Rental unit in Albany · ★4.50 · 1 bedroom · 1 bed · 1 bath,Elizabeth,NINTH WARD,42.65483,-73.78033,Entire home/apt,85,5,24,19/12/2023,0.47,8,357,3
Rental unit in Albany · ★4.63 · Studio · 1 bed · 1 bath,Adem,SIXTH WARD,42.65547,-73.7651,Entire home/apt,78,1,240,10/12/2023,4.73,2,68,68
Rental unit in Albany · ★4.94 · 2 bedrooms · 2 beds · 1 bath,Matthew,FOURTH WARD,42.66091,-73.74285,Entire home/apt,213,1,221,20/10/2023,4.55,1,250,33
Rental unit in Albany · ★4.65 · 2 bedrooms · 2 beds · 1 bath,Adem,THIRD WARD,42.65682,-73.76298,Entire home/apt,78,1,139,30/08/2023,7.35,2,206,69
Rental unit in Albany · ★4.89 · 2 bedrooms · 3 beds · 1 bath,Allen,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,95,3,99,26/12/2023,1.99,8,354,18
Home in Albany · ★4.99 · 1 bedroom · 2 beds · 1 bath,Lloyd,FOURTH WARD,42.67773,-73.73899,Entire home/apt,109,1,166,07/08/2023,3.43,1,351,6
Home in Albany · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,Daniel,SIXTH WARD,42.65115,-73.7668,Entire home/apt,92,30,4,06/01/2023,0.12,1,0,1
Rental unit in Albany · ★4.73 · 2 bedrooms · 2 beds · 1 bath,Elizabeth,SIXTH WARD,42.65315,-73.76202,Entire home/apt,110,7,21,30/12/2023,0.44,8,0,6
Home in Albany · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,John,FOURTEENTH WARD,42.66403,-73.81446,Private room,45,1,128,24/12/2023,2.71,1,170,46
Rental unit in Albany · 1 bedroom · 2 beds · 1 bath,Evolve,THIRD WARD,42.6557,-73.75085,Entire home/apt,91,2,1,07/03/2020,0.02,6,340,0
Rental unit in Albany · ★3.96 · 3 bedrooms · 3 beds · 1 bath,Evolve,SECOND WARD,42.6469,-73.75761,Entire home/apt,178,3,27,27/10/2022,0.63,6,361,0
Rental unit in Albany · 3 bedrooms · 3 beds · 1 bath,Arkady,NINTH WARD,42.65567,-73.7854,Entire home/apt,200,70,0,,,1,365,0
Home in Albany · ★4.79 · 3 bedrooms · 3 beds · 1.5 baths,Anthony,FIRST WARD,42.63876,-73.78535,Entire home/apt,139,1,92,31/12/2023,2.04,1,112,23
Townhouse in Albany · ★New · 2 bedrooms · 5 beds · 1 bath,Rakee,FIRST WARD,42.63085781,-73.77276296,Entire home/apt,115,1,1,18/12/2023,1,1,270,1
Rental unit in Albany · ★4.81 · 2 bedrooms · 2 beds · 1 bath,Angela,SECOND WARD,42.64453,-73.75426,Entire home/apt,120,2,78,30/10/2023,1.95,4,85,13
Rental unit in Albany · ★4.59 · 2 bedrooms · 2 beds · 1 bath,Gregg,THIRD WARD,42.65746,-73.74932,Entire home/apt,76,2,33,11/12/2023,0.76,3,0,23
Rental unit in Albany · ★5.0 · 1 bedroom · 2 beds · 1 bath,Dominick,SIXTH WARD,42.65556,-73.76205,Entire home/apt,175,4,14,10/10/2023,0.4,3,280,3
Home in Albany · ★4.86 · 3 bedrooms · 3 beds · 1 bath,Scott,TENTH WARD,42.66257,-73.78281,Entire home/apt,165,1,107,03/12/2023,2.51,5,363,27
Home in Albany · ★4.90 · 3 bedrooms · 3 beds · 1 bath,Diana,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,245,2,66,08/10/2023,1.55,19,0,20
Rental unit in Albany · ★4.98 · Studio · 2 beds · 1 bath,Lloyd,SIXTH WARD,42.65935,-73.76805,Entire home/apt,99,1,318,27/12/2023,7.52,3,353,73
Rental unit in Albany · ★4.99 · 1 bedroom · 2 beds · 1 bath,Lloyd,SIXTH WARD,42.66006,-73.76966,Entire home/apt,119,1,280,25/12/2023,6.7,3,349,57
Rental unit in Albany · ★4.82 · 2 bedrooms · 2 beds · 1 bath,Michael,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,135,13,22,21/12/2023,0.54,5,293,3
Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,Elsa,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,119,1,118,09/10/2023,2.88,1,0,21
Guest suite in Albany · ★4.66 · 1 bedroom · 1 bath,Angela,SECOND WARD,42.64454,-73.75369,Entire home/apt,97,2,29,09/10/2023,1.03,4,88,7
Rental unit in Albany · ★4.71 · 1 bedroom · 2 beds · 1 bath,Kori,NINTH WARD,42.6545,-73.78223,Entire home/apt,87,2,99,19/11/2023,2.53,1,144,39
Rental unit in Albany · ★4.57 · 1 bedroom · 2 beds · 1 bath,Linda,SECOND WARD,42.64801,-73.75668,Entire home/apt,120,1,83,30/11/2023,2.32,15,347,28
Rental unit in Albany · ★4.75 · 1 bedroom · 1 bed · 1 bath,Linda,SECOND WARD,42.64821,-73.75793,Entire home/apt,120,1,92,19/11/2023,2.57,15,0,25
Rental unit in Albany · ★4.68 · 2 bedrooms · 2 beds · 1 bath,Linda,SECOND WARD,42.64713,-73.75628,Entire home/apt,140,1,116,23/10/2023,3.26,15,0,32
